,Date,DateFloat,FutureValue
0,2019-03-13 14:16:54.624612,1.552486614624612e+18,95.56010092421633
1,2019-03-14 14:16:54.624612,1.552573014624612e+18,95.56461191149087
2,2019-03-15 14:16:54.624612,1.552659414624612e+18,95.56912289876541
3,2019-03-16 14:16:54.624612,1.552745814624612e+18,95.57363388603996
4,2019-03-17 14:16:54.624612,1.552832214624612e+18,95.57814487331451
5,2019-03-18 14:16:54.624612,1.552918614624612e+18,95.58265586058906
6,2019-03-19 14:16:54.624612,1.553005014624612e+18,95.5871668478636
7,2019-03-20 14:16:54.624612,1.553091414624612e+18,95.59167783513814
8,2019-03-21 14:16:54.624612,1.553177814624612e+18,95.59618882241269
9,2019-03-22 14:16:54.624612,1.553264214624612e+18,95.60069980968723
10,2019-03-23 14:16:54.624612,1.553350614624612e+18,95.60521079696177
11,2019-03-24 14:16:54.624612,1.553437014624612e+18,95.60972178423631
12,2019-03-25 14:16:54.624612,1.553523414624612e+18,95.61423277151086
13,2019-03-26 14:16:54.624612,1.553609814624612e+18,95.6187437587854
14,2019-03-27 14:16:54.624612,1.553696214624612e+18,95.62325474605994
15,2019-03-28 14:16:54.624612,1.553782614624612e+18,95.62776573333448
16,2019-03-29 14:16:54.624612,1.553869014624612e+18,95.63227672060904
17,2019-03-30 14:16:54.624612,1.553955414624612e+18,95.63678770788358
18,2019-03-31 14:16:54.624612,1.554041814624612e+18,95.64129869515813
19,2019-04-01 14:16:54.624612,1.554128214624612e+18,95.64580968243267
20,2019-04-02 14:16:54.624612,1.554214614624612e+18,95.65032066970721
21,2019-04-03 14:16:54.624612,1.554301014624612e+18,95.65483165698176
22,2019-04-04 14:16:54.624612,1.554387414624612e+18,95.6593426442563
23,2019-04-05 14:16:54.624612,1.554473814624612e+18,95.66385363153084
24,2019-04-06 14:16:54.624612,1.554560214624612e+18,95.66836461880538
25,2019-04-07 14:16:54.624612,1.554646614624612e+18,95.67287560607993
26,2019-04-08 14:16:54.624612,1.554733014624612e+18,95.67738659335447
27,2019-04-09 14:16:54.624612,1.554819414624612e+18,95.68189758062901
28,2019-04-10 14:16:54.624612,1.554905814624612e+18,95.68640856790356
29,2019-04-11 14:16:54.624612,1.554992214624612e+18,95.69091955517811
30,2019-04-12 14:16:54.624612,1.555078614624612e+18,95.69543054245266
31,2019-04-13 14:16:54.624612,1.555165014624612e+18,95.6999415297272
32,2019-04-14 14:16:54.624612,1.555251414624612e+18,95.70445251700174
33,2019-04-15 14:16:54.624612,1.555337814624612e+18,95.70896350427628
34,2019-04-16 14:16:54.624612,1.555424214624612e+18,95.71347449155083
35,2019-04-17 14:16:54.624612,1.555510614624612e+18,95.71798547882537
36,2019-04-18 14:16:54.624612,1.555597014624612e+18,95.72249646609991
37,2019-04-19 14:16:54.624612,1.555683414624612e+18,95.72700745337445
38,2019-04-20 14:16:54.624612,1.555769814624612e+18,95.731518440649
39,2019-04-21 14:16:54.624612,1.555856214624612e+18,95.73602942792354
40,2019-04-22 14:16:54.624612,1.555942614624612e+18,95.74054041519808
41,2019-04-23 14:16:54.624612,1.556029014624612e+18,95.74505140247264
42,2019-04-24 14:16:54.624612,1.556115414624612e+18,95.74956238974718
43,2019-04-25 14:16:54.624612,1.556201814624612e+18,95.75407337702173
44,2019-04-26 14:16:54.624612,1.556288214624612e+18,95.75858436429627
45,2019-04-27 14:16:54.624612,1.556374614624612e+18,95.76309535157081
46,2019-04-28 14:16:54.624612,1.556461014624612e+18,95.76760633884535
47,2019-04-29 14:16:54.624612,1.556547414624612e+18,95.7721173261199
48,2019-04-30 14:16:54.624612,1.556633814624612e+18,95.77662831339444
49,2019-05-01 14:16:54.624612,1.556720214624612e+18,95.78113930066898
50,2019-05-02 14:16:54.624612,1.556806614624612e+18,95.78565028794353
51,2019-05-03 14:16:54.624612,1.556893014624612e+18,95.79016127521807
52,2019-05-04 14:16:54.624612,1.556979414624612e+18,95.79467226249261
53,2019-05-05 14:16:54.624612,1.557065814624612e+18,95.79918324976717
54,2019-05-06 14:16:54.624612,1.557152214624612e+18,95.80369423704171
55,2019-05-07 14:16:54.624612,1.557238614624612e+18,95.80820522431625
